Key,Id,English(en),German(de)
"line:0183e22",152597004288,"Fabian: ... heute fahren wir zu ...","Fabian: ... heute fahren wir zu ..."
"line:0c776ed",152643141632,"Em_Past: Mhm.","Em_Past: Mhm."
"line:0f547a1",152643141633,"Fabian: ... dort musst du ...","Fabian: ... dort musst du ..."
"line:08640a3",152643141634,"Em_Past: Mhm.","Em_Past: Mhm."
"line:0c11edc",152647335936,"Fabian: ... der Bursch ... leider krank ...","Fabian: ... der Bursch ... leider krank ..."
"line:0a9a49c",152647335937,"Fabian: ... schade, der macht immer so gute Arbeit!","Fabian: ... schade, der macht immer so gute Arbeit!"
"line:07aa962",152647335938,"Em_Past: ...","Em_Past: ..."
"line:03e7202",152647335939,"Fabian: Emmi, wenn du schon am schauen bist kannst du gleich Musik am Radio anmachen.","Fabian: Emmi, wenn du schon am schauen bist kannst du gleich Musik am Radio anmachen."
"line:0abf7a8",152647335940,"Em_Past: Hm? Oh, ja klar!","Em_Past: Hm? Oh, ja klar!"
"line:07484bf",152647335941,"Fabian: Die CDs sind im Handschuhfach.","Fabian: Die CDs sind im Handschuhfach."
"line:0540bd3",152647335942,"Fabian: Such dir eine aus.","Fabian: Such dir eine aus."
"line:0c58b45",152647335943,"Em_Past: Rock","Em_Past: Rock"
"line:0326283",152647335944,"Fabian: Da hab ich nichts dagegen.","Fabian: Da hab ich nichts dagegen."
"line:0e12c2e",152647335945,"Em_Past: Raggae","Em_Past: Raggae"
"line:0f38c7a",152647335946,"Fabian: Ich hatte schon lange keinen Urlaub mehr ...","Fabian: Ich hatte schon lange keinen Urlaub mehr ..."
"line:002b70c",152647335947,"Em_Past: Metal","Em_Past: Metal"
"line:02973e9",152647335948,"Fabian: Ich wusste gar nicht, dass du sowas hörst!","Fabian: Ich wusste gar nicht, dass du sowas hörst!"
"line:0d665f0",152647335949,"Em_Past: Funky","Em_Past: Funky"
"line:0c76f2c",152647335950,"Fabian: Gute Wahl!","Fabian: Gute Wahl!"
"line:0af1988",152647335951,"Fabian: Schalte gern ab wenn du nichts mehr hören willst","Fabian: Schalte gern ab wenn du nichts mehr hören willst"
"line:0f82c51",152647335952,"Fabian: Und Emmi, bist du schon aufgeregt?","Fabian: Und Emmi, bist du schon aufgeregt?"
"line:01f7c71",152647335953,"Em_Past: *gähn* Für solche Gefühle ist es noch zu früh.","Em_Past: *gähn* Für solche Gefühle ist es noch zu früh."
"line:05dc2a8",152647335954,"Em_Past: *gähn* Für solche Gefühle ist es noch zu früh.","Em_Past: *gähn* Für solche Gefühle ist es noch zu früh."
"line:0b384a5",152647335955,"Fabian: Weniger Zeit mit Hübschmachen verbringen!","Fabian: Weniger Zeit mit Hübschmachen verbringen!"
"line:0e3cb96",152647335956,"Fabian: Dann kannst ausschlafen.","Fabian: Dann kannst ausschlafen."
